Time,Time Code,Country Name,Country Code,Labor force total,Population,GDP per capita,Energy intensity level,Renewable energy consumption,Fossil fuel energy consumption,CO2 emissions
2017,YR2017,Afghanistan,AFG,9670662,36296111,516.679862210543,2.3,19.21,..,4780.00020980835
2017,YR2017,Albania,ALB,1367557,2873457,4531.0193737689,2.69,37.07,..,5139.9998664856
2017,YR2017,Algeria,DZA,12184474,41389174,4109.69821695727,4.93,0.14,..,158339.996337891
2017,YR2017,American Samoa,ASM,..,55617,11003.8297642807,..,0.49,..,..
2017,YR2017,Andorra,AND,..,76997,38964.662014361,..,19.15,..,469.999998807907
2017,YR2017,Angola,AGO,12223456,29816769,2313.22058359692,2.51,56.25,..,24250
2017,YR2017,Antigua and Barbuda,ATG,..,95425,15383.5763979856,3.73,0.6,..,500
2017,YR2017,Argentina,ARG,19446034,44044811,14613.041824658,3.32,10.37,..,179320.007324219
2017,YR2017,Armenia,ARM,1298421,2944789,3914.52785436696,3.86,12.56,..,5369.99988555908
2017,YR2017,Aruba,ABW,..,105361,29348.418968591,3.13,6.7,..,..
2017,YR2017,Australia,AUS,12976329,24601860,53934.2501750463,4.49,9.69,..,389160.003662109
2017,YR2017,Austria,AUT,4619411,8797566,47429.1584564387,2.97,33.98,..,65860.0006103516
2017,YR2017,Azerbaijan,AZE,5033710,9854033,4147.08971569171,4.37,1.91,..,31959.9990844727
2017,YR2017,Bahamas,BHS,213870,381749,32371.0081755289,2.18,1.44,..,2170.00007629395
2017,YR2017,Bahrain,BHR,859683,1494077,23742.9373424159,8.33,0,..,30520.0004577637
2017,YR2017,Bangladesh,BGD,66854855,159685421,1839.58337801163,2.5,28.36,..,79339.9963378906
2017,YR2017,Barbados,BRB,151745,286229,17404.2074696278,3.55,5.13,..,1179.99994754791
2017,YR2017,Belarus,BLR,5076176,9458989,5785.67067254068,6.14,7.29,..,56009.9983215332
2017,YR2017,Belgium,BEL,5081005,11375158,44198.4823908691,4.04,9.64,..,92720.0012207031
2017,YR2017,Belize,BLZ,166252,375775,4909.60466379916,5.92,36.25,..,639.999985694885
2017,YR2017,Benin,BEN,4588876,11175192,1136.59387178448,6.11,45.38,..,6869.99988555908
2017,YR2017,Bermuda,BMU,..,63873,111820.581466347,1.77,0.64,..,..
2017,YR2017,Bhutan,BTN,345577,745563,3286.59674376682,8.06,83.63,..,970.000028610229
2017,YR2017,Bolivia,BOL,5259275,11192853,3351.12434432642,4.09,7.27,..,22750
2017,YR2017,Bosnia and Herzegovina,BIH,1207654,3351534,5394.26913970341,6.12,18.52,..,22680.0003051758
2017,YR2017,Botswana,BWA,867433,2205076,7296.09214157008,2.98,26.12,..,7329.99992370605
2017,YR2017,Brazil,BRA,101501800,207833825,9928.67589653405,4.05,45.33,..,456489.990234375
2017,YR2017,British Virgin Islands,VGB,..,29567,..,..,1.23,..,..
2017,YR2017,Brunei Darussalam,BRN,203713,424481,28571.608291419,5.87,0.01,..,7289.99996185303
2017,YR2017,Bulgaria,BGR,3350804,7075947,8366.29322145748,5.14,17.12,..,43880.0010681152
2017,YR2017,Burkina Faso,BFA,6892699,19193236,734.996267960528,4.72,69.08,..,4269.99998092651
2017,YR2017,Burundi,BDI,4654229,10827010,250.514600732695,7.62,88.12,..,529.999971389771
2017,YR2017,Cabo Verde,CPV,224342,537499,3292.63350335797,2.74,22.87,..,589.999973773956
2017,YR2017,Cambodia,KHM,8957446,16009413,1385.26006616114,4.59,56.25,..,12689.9995803833
2017,YR2017,Cameroon,CMR,10678160,24566070,1469.44749980724,4.53,79.17,..,9170.00007629395
2017,YR2017,Canada,CAN,20218237,36545236,45129.4292980922,7.17,22.47,..,568080.017089844
2017,YR2017,Cayman Islands,CYM,..,63382,81513.1628341398,1.87,0.01,..,..
2017,YR2017,Central African Republic,CAF,1827814,4596023,450.900697005372,8.8,91.58,..,219.999998807907
2017,YR2017,Chad,TCD,4774387,15016761,665.948884859102,3.87,78.27,..,2150.00009536743
2017,YR2017,Channel Islands,CHI,85406,168666,..,..,..,..,..
2017,YR2017,Chile,CHL,8846878,18470435,14962.5568471791,3.55,24.11,..,87069.9996948242
2017,YR2017,China,CHN,799175185,1396215000,8816.98690451989,6.51,13.13,..,10096009.765625
2017,YR2017,Colombia,COL,25756727,48909844,6376.70671552601,2.44,32.53,..,74989.9978637695
2017,YR2017,Comoros,COM,217152,813890,1323.81484301294,3.06,56.42,..,280.000001192093
2017,YR2017,Congo Dem. Rep.,COD,28865228,81398765,467.07423172679,14.45,96.7,..,2849.99990463257
2017,YR2017,Congo Rep.,COG,2015938,5110701,2170.90056268043,5.64,69.73,..,5409.99984741211
2017,YR2017,Costa Rica,CRI,2259645,4949955,12225.5744931385,2.09,36.2,..,8260.00022888184
2017,YR2017,Cote d'Ivoire,CIV,7922954,24437475,2111.02655726645,3.72,62.54,..,10560.0004196167
2017,YR2017,Croatia,HRV,1821332,4124531,13629.289592247,3.31,29.79,..,17409.9998474121
2017,YR2017,Cuba,CUB,5314631,11339255,8541.21368643707,1.45,22,..,26239.9997711182
2017,YR2017,Curacao,CUW,..,160175,18788.8072839326,15.87,2.22,..,..
2017,YR2017,Cyprus,CYP,604631,1179685,26608.875,2.88,11.03,..,7360.0001335144
2017,YR2017,Czechia,CZE,5398388,10594438,20636.199952435,4.41,14.46,..,101830.001831055
2017,YR2017,Denmark,DNK,2971347,5764980,57610.0981801135,2.19,35.2,..,33130.0010681152
2017,YR2017,Djibouti,DJI,213318,944100,2926.15330391496,2.17,24.13,..,419.999986886978
2017,YR2017,Dominica,DMA,..,71460,7298.51457951094,3.02,9.84,..,170.000001788139
2017,YR2017,Dominican Republic,DOM,4704626,10513111,7609.35327534023,2.09,16.87,..,23549.9992370605
2017,YR2017,Ecuador,ECU,8194875,16785356,6213.50312736888,3.18,17.05,..,38549.9992370605
2017,YR2017,Egypt,EGY,28747249,96442590,2444.29038718448,3.67,5.1,..,242229.995727539
2017,YR2017,El Salvador,SLV,2710376,6388124,3910.25440332717,3.25,24.99,..,6380.00011444092
2017,YR2017,Equatorial Guinea,GNQ,442090,1262008,9667.8569615799,4.7,3.54,..,5800.00019073486
2017,YR2017,Eritrea,ERI,1584008,..,..,..,75.37,..,720.000028610229
2017,YR2017,Estonia,EST,702603,1317384,20437.765376736,5.36,27.53,..,16709.9990844727
2017,YR2017,Eswatini,SWZ,354049,1124808,3914.41848379603,4.44,65.54,..,889.999985694885
2017,YR2017,Ethiopia,ETH,50540486,106399926,768.523015429372,8.2,90.22,..,15819.9996948242
2017,YR2017,Faroe Islands,FRO,..,48326,61455.0526069484,..,5.97,..,..
2017,YR2017,Fiji,FJI,354659,877460,6101.02388950081,2.15,28.55,..,1649.99997615814
2017,YR2017,Finland,FIN,2716173,5508214,46412.1364777169,5.34,44.48,..,43020.0004577637
2017,YR2017,France,FRA,30490320,66918020,38781.0494870836,3.47,14.12,..,317829.986572266
2017,YR2017,French Polynesia,PYF,119800,276108,21127.0643295323,..,8.07,..,..
2017,YR2017,Gabon,GAB,633493,2064812,7230.43491161979,6.75,90.1,..,5329.99992370605
2017,YR2017,Gambia,GMB,724125,2213900,679.75507172296,3.29,48.02,..,540.000021457672
2017,YR2017,Georgia,GEO,1986332,3728004,4357.00093554628,4.04,28.03,..,9729.99954223633
2017,YR2017,Germany,DEU,43789062,82657002,44652.5891722719,2.98,15.22,..,732200.012207031
2017,YR2017,Ghana,GHA,12524927,29121464,2074.29073272269,2.75,44.43,..,17010.0002288818
2017,YR2017,Gibraltar,GIB,..,33723,..,..,0,..,..
2017,YR2017,Greece,GRC,4805421,10754679,18582.0893411631,3.14,16.38,..,66800.0030517578
2017,YR2017,Greenland,GRL,..,56171,50766.5994182748,..,11.05,..,..
2017,YR2017,Grenada,GRD,..,110874,10152.8328118872,2.38,11.48,..,289.99999165535
2017,YR2017,Guam,GUM,77213,164281,36601.9198811792,..,2.96,..,..
2017,YR2017,Guatemala,GTM,6367398,16087418,4454.04814983548,4.24,65.09,..,16569.9996948242
2017,YR2017,Guinea,GIN,4288458,12067516,855.575270552124,5.66,71.96,..,3339.99991416931
2017,YR2017,Guinea-Bissau,GNB,750149,1828146,738.549944890782,8.91,86.8,..,310.000002384186
2017,YR2017,Guyana,GUY,300364,775218,6124.95366998759,3.95,22.18,..,2470.00002861023
2017,YR2017,Haiti,HTI,4807860,10982367,1369.06373395137,5.68,76.17,..,3329.99992370605
2017,YR2017,Honduras,HND,4105648,9429016,2453.72711527978,4.05,45.92,..,9260.00022888184
2017,YR2017,Hong Kong SAR,HKG,3996264,7393200,46160.429791493,1.31,0.2,..,..
2017,YR2017,Hungary,HUN,4716109,9787966,14623.6966492311,3.87,14.54,..,46439.998626709
2017,YR2017,Iceland,ISL,210572,343400,72010.1490316258,12.18,80.08,..,1669.99995708466
2017,YR2017,India,IND,471675710,1338676779,1980.66701982802,4.47,32.41,..,2320409.91210938
2017,YR2017,Indonesia,IDN,129127477,264650969,3837.57802362633,3.2,26.15,..,517320.007324219
2017,YR2017,Iran Islamic Rep.,IRN,26730481,80673888,6032.06512674358,9.54,0.98,..,626419.982910156
2017,YR2017,Iraq,IRQ,9631305,37552789,4985.45287942996,4.74,0.57,..,155080.001831055
2017,YR2017,Ireland,IRL,2335923,4807388,69774.0289724953,1.51,10.1,..,37779.9987792969
2017,YR2017,Isle of Man,IMN,..,83610,83477.834285154,..,1.88,..,..
2017,YR2017,Israel,ISR,4018175,8713300,40774.1296073227,2.67,3.86,..,65610.0006103516
2017,YR2017,Italy,ITA,26090152,60536709,32406.7203150134,2.55,16.43,..,329190.002441406
2017,YR2017,Jamaica,JAM,1444404,2920848,5070.0995030616,3.86,10.98,..,7219.99979019165
2017,YR2017,Japan,JPN,66974294,126972000,38834.0529341227,3.5,6.92,..,1155229.98046875
2017,YR2017,Jordan,JOR,2560879,9785840,4231.51827999134,4.01,5.26,..,26149.9996185303
2017,YR2017,Kazakhstan,KAZ,9004270,18037776,9247.58133129626,6.08,2.02,..,214580.001831055
2017,YR2017,Kenya,KEN,22251990,50221146,1633.49121639293,5.56,71.3,..,18979.9995422363
2017,YR2017,Kiribati,KIR,..,114153,1648.59495664448,6.14,41.15,..,90.0000035762787
2017,YR2017,Korea Dem. People's Rep.,PRK,16644984,25429816,..,..,11.98,..,54290.0009155273
2017,YR2017,Korea Rep.,KOR,28292428,51361911,31616.8434004683,5.62,2.84,..,626630.004882813
2017,YR2017,Kosovo,XKX,..,1791003,4009.38098680368,..,25.26,..,..
2017,YR2017,Kuwait,KWT,2366772,4056102,29759.4674745278,7.18,0.02,..,90730.0033569336
2017,YR2017,Kyrgyz Republic,KGZ,2525510,6198200,1242.76964282023,5.15,24.55,..,9430.00030517578
2017,YR2017,Lao PDR,LAO,3611116,6953031,2455.21155944893,4.9,50.58,..,19049.9992370605
2017,YR2017,Latvia,LVA,997440,1942248,15695.1151541059,3.31,42.6,..,7119.99988555908
2017,YR2017,Lebanon,LBN,2179114,6819373,7776.03464216395,3.49,3.97,..,29319.9996948242
2017,YR2017,Lesotho,LSO,910583,2091532,1102.62972842217,8.38,39.62,..,699.999988079071
2017,YR2017,Liberia,LBR,2115393,4702224,721.085044013216,13.66,84.77,..,1279.99997138977
2017,YR2017,Libya,LBY,2236944,6580723,10205.3248315701,8.41,2.72,..,55159.9998474121
2017,YR2017,Liechtenstein,LIE,..,37805,171253.964253797,..,55.33,..,159.999996423721
2017,YR2017,Lithuania,LTU,1461582,2828403,16885.4073948373,3.31,33.78,..,11220.0002670288
2017,YR2017,Luxembourg,LUX,296867,596336,110193.213797228,2.35,15.33,..,9000
2017,YR2017,Macao SAR China,MAC,382247,622578,81019.4737666593,0.59,3.87,..,..
2017,YR2017,Madagascar,MDG,13024036,25570511,515.29332337359,8.03,81.32,..,3470.00002861023
2017,YR2017,Malawi,MWI,7622794,17670193,506.137294436399,3.32,75.94,..,1190.00005722046
2017,YR2017,Malaysia,MYS,15154997,31104655,10259.3048064811,4.28,5.22,..,227619.995117188
2017,YR2017,Maldives,MDV,227872,496398,9577.34694587865,2.42,1.25,..,1860.00001430511
2017,YR2017,Mali,MLI,6693151,18512429,830.021444463375,4.9,76.37,..,5179.99982833862
2017,YR2017,Malta,MLT,232412,467999,28857.0198686735,1.42,7.27,..,1519.99998092651
2017,YR2017,Marshall Islands,MHL,..,58053,3672.57678328424,10.51,11.75,..,180.000007152557
2017,YR2017,Mauritania,MRT,1157889,4282582,1587.85890418774,3.13,26.54,..,3490.00000953674
2017,YR2017,Mauritius,MUS,603691,1264613,10484.9083620411,2.25,9.42,..,4170.00007629395
2017,YR2017,Mexico,MEX,54096291,124777326,9287.84958732302,3.07,9.99,..,471579.986572266
2017,YR2017,Micronesia Fed. Sts.,FSM,..,111461,3289.64211697365,5.52,1.41,..,180.000007152557
2017,YR2017,Moldova,MDA,978787,2755158,3509.68682892959,5.02,26.07,..,8060.0004196167
2017,YR2017,Monaco,MCO,..,38392,167517.059727856,..,..,..,..
2017,YR2017,Mongolia,MNG,1299132,3113788,3687.10000337811,6.08,3.19,..,19579.9999237061
2017,YR2017,Montenegro,MNE,278154,622373,7803.36257940844,3.48,37.77,..,2269.99998092651
2017,YR2017,Morocco,MAR,11745041,35581257,3035.45434570313,3.24,10.45,..,63520.0004577637
2017,YR2017,Mozambique,MOZ,12454016,28649007,461.41492784394,12.31,78.9,..,7210.00003814697
2017,YR2017,Myanmar,MMR,23914882,53382521,1151.11446415483,3.72,59.92,..,32500
2017,YR2017,Namibia,NAM,904835,2402623,5367.11467444788,3.44,29.94,..,4269.99998092651
2017,YR2017,Nauru,NRU,..,10577,10339.385479551,5.68,0.6,..,70.0000002980232
2017,YR2017,Nepal,NPL,15816932,27632682,1048.45375534732,5.76,76.41,..,12479.9995422363
2017,YR2017,Netherlands,NLD,9172501,17131296,48675.2223350213,3.31,6.36,..,155759.994506836
2017,YR2017,New Caledonia,NCL,132951,270000,33976.5485264387,..,5.08,..,..
2017,YR2017,New Zealand,NZL,2740347,4813600,42924.9955958449,4.13,30.22,..,32930.0003051758
2017,YR2017,Nicaragua,NIC,2897643,6384843,2159.16192554656,4.36,48.91,..,5480.00001907349
2017,YR2017,Niger,NER,7928658,21602388,517.771572271371,5.13,82.01,..,1909.9999666214
2017,YR2017,Nigeria,NGA,58814727,190873247,1968.56539847444,6.31,82.32,..,108500
2017,YR2017,North Macedonia,MKD,953123,2074502,5450.4928808666,3.51,19,..,7789.99996185303
2017,YR2017,Northern Mariana Islands,MNP,..,56553,27584.7435149329,..,0,..,..
2017,YR2017,Norway,NOR,2768764,5276968,75496.7540581998,3.68,61.09,..,37720.0012207031
2017,YR2017,Oman,OMN,2582357,4665926,17329.1854626719,8.07,0,..,71930.0003051758
2017,YR2017,Pakistan,PAK,68865484,207906210,1631.53190936041,4.65,42.09,..,198830.001831055
2017,YR2017,Palau,PLW,..,17809,16019.9898927509,9.4,0.05,..,259.999990463257
2017,YR2017,Panama,PAN,1864998,4106764,15146.4085104476,1.42,23.6,..,10130.0001144409
2017,YR2017,Papua New Guinea,PNG,2571902,8438038,2695.24900855956,4.93,54.45,..,7610.0001335144
2017,YR2017,Paraguay,PRY,3388724,6867058,5678.8699722,3.42,60.12,..,8060.0004196167
2017,YR2017,Peru,PER,17829194,31444299,6710.50760214164,2.54,27.59,..,54270.0004577637
2017,YR2017,Philippines,PHL,42626395,105172921,3123.24564174356,2.89,27.68,..,133500
2017,YR2017,Poland,POL,18243916,37974826,13864.6817579973,3.81,11.12,..,312859.985351563
2017,YR2017,Portugal,PRT,5243047,10300300,21490.429863104,2.8,24.42,..,53330.0018310547
2017,YR2017,Puerto Rico,PRI,1110932,3325286,31108.7605697675,0.42,2.26,..,..
2017,YR2017,Qatar,QAT,2077316,2724727,59124.8672675489,6.8,0.07,..,87540.0009155273
2017,YR2017,Romania,ROU,9099360,19588715,10807.0091671993,2.61,23.35,..,74209.9990844727
2017,YR2017,Russian Federation,RUS,74694581,144496739,10720.3330078125,7.99,3.25,..,1594550.04882813
2017,YR2017,Rwanda,RWA,5988412,11980960,772.294884583004,4.28,85.98,..,1190.00005722046
2017,YR2017,Samoa,WSM,52036,195358,4258.97867546454,4.17,35.79,..,310.000002384186
2017,YR2017,San Marino,SMR,..,33671,45399.0289841537,..,..,..,..
2017,YR2017,Sao Tome and Principe,STP,64632,207086,1813.80743359704,3.55,38.42,..,140.000000596046
2017,YR2017,Saudi Arabia,SAU,13587282,33101183,20802.4617855102,5.85,0.02,..,545070.007324219
2017,YR2017,Senegal,SEN,3975776,15419354,1361.70197218375,3.65,37.93,..,9800.00019073486
2017,YR2017,Serbia,SRB,3189489,7020858,6292.54362926707,5.61,20,..,47340.0001525879
2017,YR2017,Seychelles,SYC,..,95843,16416.726074108,3.06,1.25,..,579.999983310699
2017,YR2017,Sierra Leone,SLE,2491501,7488427,496.682294873131,5.68,74.61,..,939.999997615814
